Instrument record for context (auto-filled from parent where possible).,Instrument record for context (auto-filled from parent where possible).,
Instrument {0} not found,Instrument {0} not found,
Instruments Currently Owned,Instruments Currently Owned,
Int,Int,
Intake,Intake,
Intake Date & Time,Intake Date & Time,
Intake Naming Series,Intake Naming Series,
Intake Record ID,Intake Record ID,
Intake Type,Intake Type,
Interaction Logs,Interaction Logs,
Interaction Type,Interaction Type,
Internal identifier for this template (kept unique and set only once).,Internal identifier for this template (kept unique and set only once).,
Intonation,Intonation,
Invalid operation type specified.,Invalid operation type specified.,
Invalid status: {0},Invalid status: {0},
Inventory,Inventario,
Inventory Action,Inventory Action,
Inventory Delta,Inventory Delta,
Inventory Delta must be non-zero to proceed.,Inventory Delta must be non-zero to proceed.,
Is Active,Está activo,
Is Group,Es un grupo,
Is Open Key,Is Open Key,
Is Secondary Pad,Is Secondary Pad,
Is this a secondary pad? (Secondary pads are the pads that are controlled by anything but the players finger. E.g. The LH2 is a secondary key when the RH1 is pressed for 1-and-1,Is this a secondary pad? (Secondary pads are the pads that are controlled by anything but the players finger. E.g. The LH2 is a secondary key when the RH1 is pressed for 1-and-1,
Issue,Incidencia,
Issue Description,Issue Description,
Issued,Emitido,
Issued Date,Issued Date,
Issued To (Customer),Issued To (Customer),
Item,Producto,
Item Code,Código del Producto,
Item Name,Nombre del Producto,
Item and Warehouse are required.,Item and Warehouse are required.,
Item {0} does not exist.,El artículo {0} no existe.,
Items,Productos,
"JSON file with detection details (x, y, r, confidence, method, quality metrics). Useful for audit and troubleshooting.","JSON file with detection details (x, y, r, confidence, method, quality metrics). Useful for audit and troubleshooting.",
Jitter (%),Jitter (%),
Jitter/Shimmer,Jitter/Shimmer,
Just Intonation (generic offsets),Just Intonation (generic offsets),
Kept for backward compatibility; use warranty_end_date,Kept for backward compatibility; use warranty_end_date,
Key,Clave,
Key Height (mm),Key Height (mm),
Key Height Preference,Key Height Preference,
Key Plating,Key Plating,
Key System,Key System,
Key performance metrics,Key performance metrics,
Keyboard Shortcuts,Atajos de teclado,
Keywork Condition,Keywork Condition,
Keywork Plating,Keywork Plating,
Lab,Lab,
Lab Console,Lab Console,
Lab Results,Lab Results,
Lab Technician,Técnico de Laboratorio,
Lab Test not found,Lab Test not found,
Labels & Mapping,Labels & Mapping,
Labor Hours,Labor Hours,
Larger sizes,Larger sizes,
Last Active,Último Activo,
Last Calibrated,Last Calibrated,
Last Intake Date,Last Intake Date,
Last Name,Apellido,
Last Visit Date,Last Visit Date,
Leak,Leak,
Ligature,Ligature,
Line Items,Line Items,
Link to the Stock Entry created by Update Inventory. Click to open the voucher.,Link to the Stock Entry created by Update Inventory. Click to open the voucher.,
Linkage,Linkage,
Linked Stages,Linked Stages,
Listening… (play a sustained note),Listening… (play a sustained note),
"Live DSP readouts for stability, timbre, and intonation. Hover charts to interpret shape and trend; use Dyn Range to reveal quieter content.","Live DSP readouts for stability, timbre, and intonation. Hover charts to interpret shape and trend; use Dyn Range to reveal quieter content.",
Live View,Live View,
Load Operations from Template,Load Operations from Template,
Loaded {0} operation(s) and {1} checklist item(s) from template.,Loaded {0} operation(s) and {1} checklist item(s) from template.,
Loading operations...,Loading operations...,
Loaner Instrument,Loaner Instrument,
Loaner Record,Loaner Record,
Loaner Return Check,Loaner Return Check,
Loaner Serial Number,Loaner Serial Number,
Loaner Status,Loaner Status,
Location,Ubicación,
Log Entry,Log Entry,
Log Freq,Log Freq,
Log Time,Log Time,
Log bins,Log bins,
Log out,Cerrar sesión,
Logged By,Logged By,
Logs,Registros,
Lost,Perdido,
Low,Bajo,
Mailing Address,Mailing Address,
Maintenance,Mantenimiento,
Manual Note,Manual Note,
Manufacturer,Fabricante,
Map to stock Serial No when the unit is on your books,Map to stock Serial No when the unit is on your books,
Mapped Brand,Mapped Brand,
Mark On Hold,Mark On Hold,
Mark this as a duplicate of another serial record,Mark this as a duplicate of another serial record,
Marker Side Length (mm),Marker Side Length (mm),
Marketing Photo Gallery,Marketing Photo Gallery,
Material Usage,Material Usage,
Material Used,Material Used,
Materials Used,Materials Used,
Max Radius (px),Max Radius (px),
"Maximum pad radius in pixels. If using Auto Pixel Radius from mm, this updates automatically after processing.","Maximum pad radius in pixels. If using Auto Pixel Radius from mm, this updates automatically after processing.",
Mean Cents,Mean Cents,
Mean/Std Cents,Mean/Std Cents,
Meantone (1/4-comma),Meantone (1/4-comma),
Measurement,Measurement,
Measurement Session,Measurement Session,
Measurement Type,Measurement Type,
Measurements,Measurements,
Media & Photos,Media & Photos,
Medium,Medio,
Meta,Meta,
Method,Método,
Metric,Metric,
Microphone,Microphone,
Microphone error. Check permissions and input device.,Microphone error. Check permissions and input device.,
Min Radius (px),Min Radius (px),
"Minimum pad radius in pixels. If using Auto Pixel Radius from mm, this updates automatically after processing.","Minimum pad radius in pixels. If using Auto Pixel Radius from mm, this updates automatically after processing.",
Missing required field(s) for New Inventory: {0},Missing required field(s) for New Inventory: {0},
Model,Modelo,
Model this template is designed for (used for pad maps and model-specific defaults).,Model this template is designed for (used for pad maps and model-specific defaults).,
Modification Date,Modification Date,
Modified By,Modificado por,
Mouthpiece,Mouthpiece,
My Open Tasks,My Open Tasks,
My Profile,Mi Perfil,
My Settings,Mis ajustes,
Name,Nombre,
Naming Series,Secuencias e identificadores,
Navigate,Navigate,
Needle,Needle,
New,Nuevo,
New End Date,New End Date,
New Session…,New Session…,
New Start Date,New Start Date,
Newsletter Subscription,Newsletter Subscription,
Next Calibration Due,Next Calibration Due,
No Default Operations found in the selected Setup Template.,No Default Operations found in the selected Setup Template.,
No Template Tasks found on the selected Setup Template.,No Template Tasks found on the selected Setup Template.,
No player profile linked to this user.,No player profile linked to this user.,
No recording provided.,No recording provided.,
Noise Gate,Noise Gate,
Normalize Sequence,Normalize Sequence,
Normalized Serial,Normalized Serial,
Normalized Serial could not be derived from the Serial Number.,Normalized Serial could not be derived from the Serial Number.,
Not permitted,No permitido,
Notes,Notas,
Nothing to do,Nothing to do,
Notify User on Stock Issues,Notify User on Stock Issues,
