type,doctype,fieldname,label,path,details
intra_doctype_duplicate_label_case_insensitive,Repair Request,,,,"{""label_variant"": ""status"", ""occurrences"": [{""label"": ""Status"", ""path"": ""/home/frappe/frappe-bench/apps/repair_portal/repair_portal/repair/doctype/repair_request/repair_request.json""}, {""label"": ""Status"", ""path"": ""/home/frappe/frappe-bench/apps/repair_portal/repair_portal/repair/doctype/repair_request/repair_request.json""}]}"
intra_doctype_duplicate_label_case_insensitive,Repair Request,,,,"{""label_variant"": ""repair notes"", ""occurrences"": [{""label"": ""Repair Notes"", ""path"": ""/home/frappe/frappe-bench/apps/repair_portal/repair_portal/repair/doctype/repair_request/repair_request.json""}, {""label"": ""Repair Notes"", ""path"": ""/home/frappe/frappe-bench/apps/repair_portal/repair_portal/repair/doctype/repair_request/repair_request.json""}]}"
intra_doctype_duplicate_label_case_insensitive,Repair Request,,,,"{""label_variant"": ""qa checklist"", ""occurrences"": [{""label"": ""QA Checklist"", ""path"": ""/home/frappe/frappe-bench/apps/repair_portal/repair_portal/repair/doctype/repair_request/repair_request.json""}, {""label"": ""QA Checklist"", ""path"": ""/home/frappe/frappe-bench/apps/repair_portal/repair_portal/repair/doctype/repair_request/repair_request.json""}]}"
link_to_unknown_doctype,Repair Task,technician,,/home/frappe/frappe-bench/apps/repair_portal/repair_portal/repair/doctype/repair_task/repair_task.json,"{""options"": ""User""}"
link_to_unknown_doctype,Barcode Scan Entry,linked_item,,/home/frappe/frappe-bench/apps/repair_portal/repair_portal/repair_logging/doctype/barcode_scan_entry/barcode_scan_entry.json,"{""options"": ""Item""}"
link_to_unknown_doctype,Material Use Log,source_warehouse,,/home/frappe/frappe-bench/apps/repair_portal/repair_portal/repair_logging/doctype/material_use_log/material_use_log.json,"{""options"": ""Warehouse""}"
link_to_unknown_doctype,Material Use Log,operation_type,,/home/frappe/frappe-bench/apps/repair_portal/repair_portal/repair_logging/doctype/material_use_log/material_use_log.json,"{""options"": ""DocType""}"
link_to_unknown_doctype,Material Use Log,item_name,,/home/frappe/frappe-bench/apps/repair_portal/repair_portal/repair_logging/doctype/material_use_log/material_use_log.json,"{""options"": ""Item""}"
link_to_unknown_doctype,Repair Parts Used,item_code,,/home/frappe/frappe-bench/apps/repair_portal/repair_portal/repair_logging/doctype/repair_parts_used/repair_parts_used.json,"{""options"": ""Item""}"
link_to_unknown_doctype,Repair Parts Used,uom,,/home/frappe/frappe-bench/apps/repair_portal/repair_portal/repair_logging/doctype/repair_parts_used/repair_parts_used.json,"{""options"": ""UOM""}"
link_to_unknown_doctype,Repair Parts Used,warehouse,,/home/frappe/frappe-bench/apps/repair_portal/repair_portal/repair_logging/doctype/repair_parts_used/repair_parts_used.json,"{""options"": ""Warehouse""}"
link_to_unknown_doctype,Repair Parts Used,serial_no,,/home/frappe/frappe-bench/apps/repair_portal/repair_portal/repair_logging/doctype/repair_parts_used/repair_parts_used.json,"{""options"": ""Serial No""}"
link_to_unknown_doctype,Repair Task Log,logged_by,,/home/frappe/frappe-bench/apps/repair_portal/repair_portal/repair_logging/doctype/repair_task_log/repair_task_log.json,"{""options"": ""User""}"
link_to_unknown_doctype,Tool Usage Log,used_by,,/home/frappe/frappe-bench/apps/repair_portal/repair_portal/repair_logging/doctype/tool_usage_log/tool_usage_log.json,"{""options"": ""User""}"
link_to_unknown_doctype,Visual Inspection,serial_no,,/home/frappe/frappe-bench/apps/repair_portal/repair_portal/repair_logging/doctype/visual_inspection/visual_inspection.json,"{""options"": ""Serial No""}"
link_to_unknown_doctype,Visual Inspection,inspected_by,,/home/frappe/frappe-bench/apps/repair_portal/repair_portal/repair_logging/doctype/visual_inspection/visual_inspection.json,"{""options"": ""User""}"
link_to_unknown_doctype,Warranty Modification Log,modified_by,,/home/frappe/frappe-bench/apps/repair_portal/repair_portal/repair_logging/doctype/warranty_modification_log/warranty_modification_log.json,"{""options"": ""User""}"
link_to_unknown_doctype,Technician,user,,/home/frappe/frappe-bench/apps/repair_portal/repair_portal/repair_portal/doctype/technician/technician.json,"{""options"": ""User""}"
link_to_unknown_doctype,Estimate Line Item,part_code,,/home/frappe/frappe-bench/apps/repair_portal/repair_portal/service_planning/doctype/estimate_line_item/estimate_line_item.json,"{""options"": ""Item""}"
link_to_unknown_doctype,Repair Estimate,inspection_reference,,/home/frappe/frappe-bench/apps/repair_portal/repair_portal/service_planning/doctype/repair_estimate/repair_estimate.json,"{""options"": ""Inspection Report""}"
link_to_unknown_doctype,Service Task,assigned_to,,/home/frappe/frappe-bench/apps/repair_portal/repair_portal/service_planning/doctype/service_task/service_task.json,"{""options"": ""User""}"
link_to_unknown_doctype,Service Task,workflow_state,,/home/frappe/frappe-bench/apps/repair_portal/repair_portal/service_planning/doctype/service_task/service_task.json,"{""options"": ""Workflow State""}"
link_to_unknown_doctype,Tool,asset,,/home/frappe/frappe-bench/apps/repair_portal/repair_portal/tools/doctype/tool/tool.json,"{""options"": ""Asset""}"
